"success","rt","trial_type","trial_index","plugin_version","time_elapsed","Participant ID","stimulus","response","bounce_time","response_time"
"true","2066","fullscreen","0","2.1.0","3073","j1nrm","","","",""
"","1393","html-keyboard-response","1","2.1.0","4469","j1nrm","Welcome to the experiment. Press any key to begin."," ","",""
"","3003","survey-html-form","2","2.1.0","7475","j1nrm","","{""consent-checkbox"":""on""}","",""
"","4914","html-keyboard-response","3","2.1.0","12391","j1nrm","
       <p>In this experiment, you will see a basketball bouncing on the screen. </p>
       <img src='basketball.png'></img>
       <p>Your task is to press the spacebar in sync with the moment the ball reaches the lowest point of its bounce.</p>
       <p>Try to be as precise as possible, keeping your taps in rhythm with the ball's motion.</p>
       <p>The experiment consists of 6 trials which all have the same bouncing velocity.</p>
       <p>Press any key to proceed.</p>
     "," ","",""
"","null","html-keyboard-response","4","2.1.0","13395","j1nrm","<div style=""font-size:60px;"">Next Trial</div>","null","",""
"","null","html-keyboard-response","5","2.1.0","46399","j1nrm","","null","[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[""0.835"",""1.783"",""2.763"",""3.725"",""4.720"",""5.574"",""6.505"",""7.505"",""8.396"",""9.345"",""10.358"",""11.315"",""12.339"",""13.316"",""14.249"",""15.272"",""16.382"",""17.302"",""18.267"",""19.275"",""20.176"",""21.118"",""22.104"",""23.174"",""24.202"",""25.229"",""26.176"",""27.151"",""28.108"",""29.135"",""30.142"",""31.094"",""32.038""]"
"","null","html-keyboard-response","6","2.1.0","47403","j1nrm","<div style=""font-size:60px;"">Next Trial</div>","null","",""
"","null","html-keyboard-response","7","2.1.0","80406","j1nrm","","null","[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[""0.863"",""1.886"",""2.733"",""3.711"",""4.668"",""5.645"",""6.584"",""7.502"",""8.442"",""9.334"",""10.312"",""11.214"",""12.216"",""13.286"",""14.326"",""15.164"",""16.133"",""17.178"",""18.192"",""19.142"",""20.145"",""21.180"",""22.218"",""23.195"",""24.113"",""25.099"",""26.053"",""27.059"",""28.036"",""29.003"",""30.017"",""30.957"",""31.918"",""32.952""]"
"","null","html-keyboard-response","8","2.1.0","81410","j1nrm","<div style=""font-size:60px;"">Next Trial</div>","null","",""
"","null","html-keyboard-response","9","2.1.0","114413","j1nrm","","null","[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[""0.850"",""1.821"",""2.763"",""3.691"",""4.700"",""5.645"",""6.548"",""7.412"",""8.378"",""9.283"",""10.338"",""11.333"",""12.320"",""13.264"",""14.248"",""15.254"",""16.209"",""17.176"",""18.156"",""19.132"",""20.208"",""21.165"",""22.170"",""23.088"",""24.091"",""25.008"",""25.991"",""26.971"",""27.932"",""28.955"",""29.824"",""30.802"",""31.847"",""32.818""]"
"","null","html-keyboard-response","10","2.1.0","115416","j1nrm","<div style=""font-size:60px;"">Next Trial</div>","null","",""
"","null","html-keyboard-response","11","2.1.0","148418","j1nrm","","null","[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[""0.792"",""1.838"",""2.816"",""3.684"",""4.593"",""5.535"",""6.509"",""7.422"",""8.453"",""9.445"",""10.363"",""11.270"",""12.320"",""13.221"",""14.247"",""15.237"",""16.207"",""17.154"",""18.210"",""19.107"",""20.088"",""21.163"",""22.139"",""23.181"",""24.076"",""25.037"",""25.974"",""27.016"",""27.932"",""29.024"",""29.990"",""30.954"",""31.922"",""32.948""]"
"","null","html-keyboard-response","12","2.1.0","149421","j1nrm","<div style=""font-size:60px;"">Next Trial</div>","null","",""
"","null","html-keyboard-response","13","2.1.0","182424","j1nrm","","null","[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[""0.840"",""1.808"",""2.761"",""3.674"",""4.635"",""5.550"",""6.467"",""7.374"",""8.364"",""9.351"",""10.271"",""11.208"",""12.215"",""13.166"",""14.243"",""15.257"",""16.274"",""17.234"",""18.169"",""19.227"",""20.204"",""21.169"",""22.133"",""23.077"",""24.114"",""25.086"",""26.079"",""27.007"",""27.997"",""28.990"",""29.959"",""30.990"",""31.990"",""32.983""]"
"","null","html-keyboard-response","14","2.1.0","183425","j1nrm","<div style=""font-size:60px;"">Next Trial</div>","null","",""
"","null","html-keyboard-response","15","2.1.0","216429","j1nrm","","null","[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[""0.821"",""1.824"",""2.733"",""3.684"",""4.676"",""5.551"",""6.580"",""7.495"",""8.407"",""9.380"",""10.380"",""11.373"",""12.362"",""13.342"",""14.260"",""15.206"",""16.134"",""17.175"",""18.195"",""19.222"",""20.123"",""21.120"",""22.113"",""23.097"",""24.032"",""25.030"",""26.126"",""27.002"",""28.026"",""28.999"",""29.942"",""30.894"",""31.936"",""32.946""]"
"","","html-keyboard-response","16","2.1.0","219437","j1nrm","","","",""
